,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
838,Bhoomi,['10893170'],14 Jan 2021,"Action, Drama","Jayam Ravi, Nidhhi Agerwal, Rnr Mahonar",Bhoominathan is an astronaut at NASA who has to resolve an unfinished business in his village before taking off to Mars.,5.0,"2,944",2021
839,Yeh Lamhe Judaai Ke,['0385351'],09 Apr 2004,"Drama, Mystery, Romance","Shah Rukh Khan, Raveena Tandon, Navneet Nishan","Dushyant and Jaya are childhood friends. In spite of his familys poverty, Dushyant has one great ambition in life: to become a successful singer. Will he achieve his ambition?",3.7,"1,650",2004
840,Aks,['0289845'],13 Jul 2001,"Action, Crime, Horror","Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee","Raghavan Ghatge, a psychotic terrorist, and Manu Verma, the cop who tracks him down, shoot each other simultaneously, the result being that Raghavan's soul is transferred into Verma's body and vice versa.",5.8,"1,646",2001
841,Makdee,['0341455'],22 Nov 2002,"Comedy, Family, Fantasy","Shabana Azmi, Shweta Basu Prasad, Makrand Deshpande","In a small North Indian village, Legend has it that a 100 years-old witch lives in an abandoned mansion on the village outskirts, and any person who goes inside is turned into an animal. In the same village a clever, naughty girl named Chunni (Shweta Prasad) lives with her widowed father, grandmother and her identical twin Munni, who is just the exact opposite of Chunni in mannerisms. But one day, Chunni's prank causes Munni enters the witch's mansion and the witch turns her into a hen. Chunni strikes a deal with Makdee (Shabana Azmi) that she will present Makdee with 100 hens in exchange for Munni in human form. How she manages this task forms the crux of the rest of this fun-filled children's movie.",7.4,"1,845",2002
842,Behen Hogi Teri,['6537508'],09 Jun 2017,Comedy,"Rajkummar Rao, Shruti Haasan, Gautam Gulati",A jobless youngster has to fight with criminal rivals who come to snatch away his neighborhood lady love as a bride and also his family which seems not to take note of his feelings towards the girl next door.,5.6,"1,903",2017
843,"Gandhi, My Father",['0459293'],27 Jul 2007,"Biography, Drama, History","Akshaye Khanna, Darshan Jariwala, Shefali Shah, Bhoomika Chawla",The account of troubled relationship between Mahatma Gandhi and his eldest son.,7.3,"1,593",2007
844,Babumoshai Bandookbaaz,['6711660'],25 Aug 2017,"Action, Crime, Thriller","Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami","The movie, filled with humor and romance, is a quirky ride into the life and times of a small time contract killer, Babu, played by Nawazuddin Siddiqui. The film spins around his love, his friends, his rivalries and his revenge.",6.9,"2,002",2017
845,Union Leader,['6395306'],24 Sep 2017,Drama,"Rahul Bhatt, Tillotama Shome, Zala Akash","Resigned to his fate as a worker in a notoriously shoddy chemical plant, Jay realizes that he must not only find a way to support his family, but also overcome grave social and legal injustice in the system.",7.3,"1,614",2017
846,Hawaizaada,['4338154'],06 Feb 2015,"Biography, Drama","Naman Jain, Mithun Chakraborty, Kanishka Singh Deo","The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went through on the journey to discover. Also th",5.5,"1,763",2015
847,Dil Hai Tumhaara,['0328998'],06 Sep 2002,"Drama, Romance","Arjun Rampal, Preity Zinta, Mahima Chaudhry","Raising her two daughters, Saritaji ""Rekha"" fears that history might repeat itself when both of them fall for the same guy.",5.3,"1,787",2002
848,Bobby,['0308055'],23 Nov 2006,"Biography, Drama, History","Anthony Hopkins, Demi Moore, Sharon Stone","The story of the assassination of U.S. Senator Robert F. Kennedy, who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, California, and twenty-two people in the hotel, whose lives were never ",7.0,"41,386",2006
849,Bandhan,['0273452'],02 Oct 1998,"Action, Drama, Romance","Jackie Shroff, Salman Khan, Rambha",A united household is shaken to the core when Raju's (Salman Khan's) brother-in-law marries a prostitute.,4.8,"1,898",1998
850,Nishabd,['0824375'],02 Mar 2007,Drama,"Amitabh Bachchan, Jiah Khan, Revathi","A man, who has been married for 27 years, falls in love with his 18-year-old daughter's friend.",5.4,"1,626",2007
851,Waiting,['4818930'],27 May 2016,"Comedy, Drama","Naseeruddin Shah, Kalki Koechlin, Jennifer Antony","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",7.2,"1,715",2015
852,Tango Charlie,['0444913'],25 Mar 2005,"Action, Adventure, Drama","Ajay Devgn, Bobby Deol, Sanjay Dutt","Tarun Chauhan, a rookie army officer undergoes ups and downs in his mission and learns the true meaning of 'war' to overcome his weaknesses.",6.0,"1,785",2005
853,Hadh Kar Di Aapne,['0244528'],14 Apr 2000,"Comedy, Romance","Govinda, Rani Mukerji, Johnny Lever","Raj, a detective, goes on a Europe trip for his friend's case. During the trip, he falls in love with Anjali, who is impersonating her best friend. Their journey together ensues romance and comic confusion.",5.3,"1,798",2000
854,Hotel Salvation,['5997928'],07 Apr 2017,"Comedy, Drama","Adil Hussain, Lalit Behl, Geetanjali Kulkarni","Faced with his father's untimely and bizarre demand to go and die in the holy city of Varanasi and attain Salvation, a son is left with no choice but to embark on this journey.",7.1,"2,085",2016
855,Ek Ajnabee,['0457875'],09 Dec 2005,"Action, Crime, Drama","Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian","Suryaveer, an ex-army officer, is assigned the task of protecting a young girl, Anamika. When Anamika gets kidnapped, he decides to use all his skills to rescue her.",5.2,"1,608",2005
856,Revolver Rani,['3290688'],25 Apr 2014,"Action, Comedy, Crime","Kangana Ranaut, Vir Das, Zakir Hussain","Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.",4.5,"1,696",2014
857,Delhi Safari,['1172587'],07 Dec 2012,"Animation, Adventure, Comedy","Govinda, Akshaye Khanna, Urmila Matondkar",A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,5.6,"1,646",2012
858,Dil Ka Rishta,['0330217'],17 Jan 2003,"Drama, Musical, Romance","Arjun Rampal, Aishwarya Rai Bachchan, Priyanshu Chatterjee","A man faces a dilemma after he accidentally kills his lover's fiancee and hides this secret from her, not knowing that it may create a rift in their lives.",4.8,"1,622",2003
859,Army,['0115568'],28 Jun 1996,"Action, Drama","Sridevi, Shah Rukh Khan, Harish","Arjun, an army man, who is newly-wed, is brutally killed by a gangster, Nagraj. His wife, who is determined to avenge her husband, raises an army of dedicated young men to kill the gangster.",4.3,"1,613",1996
860,Dum,['0314006'],24 Jan 2003,"Action, Crime, Drama","Vivek Oberoi, Dia Mirza, Atul Kulkarni","When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",5.6,"1,615",2003
861,Jaanam Samjha Karo,['0226847'],02 Apr 1999,"Drama, Romance","Salman Khan, Urmila Matondkar, Jaspal Bhatti","Talented singer and dancer, Chandni's life is dominated by three aunts, and a soft-spoken maternal grandmother. She meets with a womanizer named Rahul, and falls in love with him. Rahul treats her just like any of his other girlfrien",4.8,"1,719",1999
862,Alone,['7711170'],18 Sep 2020,"Drama, Mystery, Thriller","Jules Willcox, Marc Menchaca, Anthony Heald","A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",6.2,"13,434",2020
863,Aa Ab Laut Chalen,['0149568'],22 Jan 1999,"Musical, Romance, Drama","Rajesh Khanna, Akshaye Khanna, Aishwarya Rai Bachchan",Rohan Khanna leaves India hoping for a better life in America.,5.5,"1,692",1999
864,Hisss,['1244093'],22 Oct 2010,"Comedy, Drama, Horror","Mallika Sherawat, Irrfan Khan, Jeff Doucette",Based on the Far Eastern myth of the snake woman who is able to take on human form.,2.9,"1,653",2010
865,Aradhana,['0065416'],27 Sep 1969,"Drama, Musical, Romance","Rajesh Khanna, Sharmila Tagore, Sujit Kumar, Farida Jalal",Arun meets Vandana during a vacation and very soon they secretly get married.Arun is a air force pilot an dies in a crash leaving pregnant Vandana heartbroken.As her marriage was never ...,7.6,"1,711",1969
866,Khushi,['0258490'],04 May 2001,"Drama, Romance","Bhoomika Chawla, Sudhakar, Vijayakumar","While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",8.0,"4,483",2001
867,India's Most Wanted,['8484942'],24 May 2019,"Action, Adventure, Thriller","Arjun Kapoor, Sudev Nair, Rajesh Sharma",A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,4.5,"2,012",2019
868,Dus Kahaniyaan,['0823451'],07 Dec 2007,Drama,"Arbaaz Khan, Mandira Bedi, Sudhanshu Pandey","An anthology of ten short films dealing with diverse subjects such as infidelity, companionship, lust and a spectrum of human emotions.",5.7,"1,562",2007
869,Ujda Chaman,['11046300'],01 Nov 2019,Comedy,"Sunny Singh Nijjar, Maanvi Gagroo, Saurabh Shukla",Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.,6.9,"6,534",2019
870,Yaarana,['0083349'],23 Oct 1981,"Action, Comedy, Drama","Amitabh Bachchan, Neetu Singh, Tanuja","Bishan loses his fortune while helping his friend Kishan in his singing career. Now successful, would Kishan return the favour?",7.1,"1,723",1981
871,Ardh Satya,['0085178'],18 Nov 1983,"Crime, Drama","Om Puri, Smita Patil, Amrish Puri","A newly appointed police rookie deals with corruption, romance, and brutality.",8.2,"1,636",1983
872,Chandni,['0097045'],14 Sep 1989,"Drama, Musical, Romance","Sridevi, Rishi Kapoor, Vinod Khanna",Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.,6.8,"1,681",1989
873,Horror Story,['3177332'],02 May 2014,Horror,"Karan Kundra, Nishant Malkani, Hasan Zaidi","Seven youngsters decide to spend a night in an abandoned haunted hotel. What they mistook as merely rumors, dawns on them to be the truth as they realize they are not alone inside.",4.2,"1,797",2013
874,Ek Rishtaa: The Bond of Love,['0284083'],18 May 2001,"Drama, Family","Amitabh Bachchan, Rakhee Gulzar, Akshay Kumar","Vijay Kapoor, a wealthy businessman and his family are deceived by Rajesh, Vijay Kapoor's employee and son in law. A struggle begins by both father-son duos to regain their business and position.",5.1,"1,612",2001
875,Get Educated: Paathshaala,['1194236'],16 Apr 2010,"Drama, Family","Adil Feroz Khan, Nana Patekar, Shahid Kapoor",A new English school-teacher also teaches music but ends up leading both teachers and students to revolt against the school management.,4.9,"1,669",2010
876,Love Ke Liye Kuch Bhi Karega,['0287537'],29 Jun 2001,"Comedy, Crime, Romance","Saif Ali Khan, Fardeen Khan, Aftab Shivdasani","Desperate for money, three men (Saif Ali Khan, Fardeen Khan) plot to kidnap a woman (Sonali Bendre) and hold her for ransom.",6.0,"1,576",2001
877,Ankur Arora Murder Case,['2912578'],14 Jun 2013,"Drama, Thriller","Kay Kay Menon, Visshesh Tiwari, Tisca Chopra","A highly reputed doctor makes a small mistake, which costs the life of a kid Ankur Arora. Will he succeed in hiding his mistake or will the mother of the kid get Justice.",6.5,"1,844",2013
878,Aashiqui,['0149573'],23 Jul 1990,"Musical, Drama, Romance","Rahul Roy, Anu Agrawal, Avtar Gill","Rahul and Anu fall in love with each other, but before they unite, they have their own problems to deal with.",6.3,"1,698",1990
879,All Is Well,['3547616'],21 Aug 2015,"Comedy, Drama, Romance","Rishi Kapoor, Abhishek Bachchan, Asin Thottumkal",A musician finds himself on the run from a group of thugs with his friend and his estranged parents.,3.8,"1,523",2015
880,Hum Aapke Dil Mein Rehte Hain,['0189592'],22 Jan 1999,"Drama, Romance","Anil Kapoor, Kajol, Anupam Kher","Not knowing what consequences she would face, a woman signs a 1-year marriage contract with a business tycoon to end her family's poverty.",5.7,"1,576",1999
881,Aashiq Banaya Aapne: Love Takes Over,['0477253'],02 Sep 2005,"Drama, Romance, Thriller","Emraan Hashmi, Tanushree Dutta, Sonu Sood","An introvert is unable to express his feelings to the girl he loves. His friend proposes to her and she accepts, but leaves him when she discovers he is a flirt; however, destiny has other plans.",4.3,"1,576",2005
882,Ziddi,['0120551'],11 Apr 1997,"Action, Drama","Sunny Deol, Raveena Tandon, Anupam Kher","It is the story of a hot-tempered and stubborn man Deva, who is feared because of his ruthless ways and severe punishment to the local hoodlums. Later, Deva avenges the death of his brother and sister.",5.8,"1,587",1997
883,Diljale,['0286593'],20 Sep 1996,"Action, Drama, Romance","Ajay Devgn, Sonali Bendre, Amrish Puri",A patriotic young man turns into a terrorist to avenge his father's humiliation.,5.8,"1,569",1996
884,It's a Wonderful Afterlife,['1319716'],04 May 2021,"Comedy, Drama, Fantasy","Sanjeev Bhaskar, Steve Morphew, Steve Jones",A comedy centered on an Indian mother who takes her obsession with marriage into the world of serial murder.,5.4,"1,480",2010
885,Zubeidaa,['0255713'],19 Jan 2001,"Biography, Drama, History, Musical, Romance","Karisma Kapoor, Rekha, Manoj Bajpayee, Rajit Kapoor","Zubeidaa, an aspiring Muslim actress, marries a Sikh prince to become his second wife. Her tumultuous relationship with her husband, and her inner demons lead her to a decision which has fatal consequences for them all.",6.2,"1,501",2001
886,Sangam,['0058547'],18 Jun 1964,"Drama, Musical, Romance","Raj Kapoor, Rajendra Kumar, Vyjayanthimala","Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",7.5,"1,631",1964
887,Namak Haraam,['0070434'],23 Nov 1973,Drama,"Rajesh Khanna, Amitabh Bachchan, Simi Garewal","Somnath (Somu) lives in a shanty house in a Delhi slum with his widowed mom, and unmarried sister, Sarla. He is friendly with Calcutta-based wealthy Vikram (Vicky) Maharaj. When Vicky's dad, Damodar, has a heart attack and is advised",7.3,"1,592",1973
888,Ghost,['0099653'],13 Jul 1990,"Drama, Fantasy, Romance","Patrick Swayze, Demi Moore, Whoopi Goldberg","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",7.1,"202,782",1990
889,Ek Ruka Hua Faisla,['0157571'],23 Jul 1986,"Drama, Thriller","Deepak Qazir, Amitabh Srivastava, Pankaj Kapur, S.M. Zaheer",One dissenting juror in a murder trial tries to influence the verdict with his personal prejudices and biases,8.3,"1,673",1986
890,1920 London,['5638500'],06 May 2016,"Horror, Mystery","Sharman Joshi, Meera Chopra, Vishal Karwal","After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",4.1,"1,589",2016
891,Neal 'N' Nikki,['0470869'],09 Dec 2005,"Comedy, Musical, Romance","Uday Chopra, Tanishaa Mukerji, Abhishek Bachchan",Take a joyride with Neal and Nikki as they travel all across Canada to find what they want most. And it's going to be quite a trip.,3.2,"1,476",2005
892,Sahib Bibi Aur Ghulam,['0056436'],07 Dec 1962,"Drama, Musical","Meena Kumari, Guru Dutt, Rehman","A lowly servant, Bhognath gets close to the wife of his employer and narrates her story through his eyes and perspective.",8.3,"1,562",1962
893,Bala,['9420648'],07 Nov 2019,Comedy,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam",It tells the story of a man who is balding prematurely and how he copes up with the situation.,7.3,"12,792",2019
894,Mohalla Assi,['4949324'],16 Nov 2018,"Comedy, Drama","Sunny Deol, Sakshi Tanwar, Ravi Kishan",A Sanskrit priest decides to take matters in n his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.,6.8,"1,611",2015
895,Daddy,['6926486'],08 Sep 2017,"Action, Biography, Crime","Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat","Spanning the 1970s and 1980s, this is the sensational true story of Arun Gawli, who grew up in Mumbai's impoverished Dagdi Chawl, to become a dreaded don, politician and rival of India's most powerful crime boss, Dawood Ibrahim.",6.4,"1,906",2017
896,Rajma Chawal,['6747420'],30 Nov 2018,"Comedy, Drama, Family","Amyra Dastur, Rishi Kapoor, Brijendra Kala",An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.,5.8,"1,702",2018
897,Dosti,['0146645'],06 Nov 1964,"Drama, Family, Musical","Sudhir Kumar, Sushil Kumar, Sanjay Khan",Friendship of a lonesome studious blind boy with a crippled street singer.,8.4,"1,590",1964
898,Khubsoorat,['0244585'],25 Jan 1980,"Comedy, Drama, Family","Ashok Kumar, Rekha, Rakesh Roshan",A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,7.6,"1,630",1980
899,Chameli Ki Shaadi,['0090812'],21 Feb 1986,"Comedy, Drama, Romance","Anil Kapoor, Amrita Singh, Om Prakash","A man lives a poor lifestyle in a small town with his older brothers. He is unemployed and commits himself to be a wrestler, but he has to promise to be celibate until he is 40 years old.",7.5,"1,596",1986
900,Traffic Signal,['0819810'],02 Feb 2007,Drama,"Kunal Khemu, Neetu Chandra, Upendra Limaye",Traffic Signal is a Madhur Bhandarkar movie that reveals the truth behind the multimillion dollar begging Industry in India.,6.5,"1,564",2007
901,Mard,['0089552'],08 Nov 1985,"Action, Drama, Romance","Amitabh Bachchan, Amrita Singh, Nirupa Roy","King Azad gets locked in a dungeon by the British general Dyer who wants to take over his kingdom. Years later, Azad's son decides to put an end to Dyer's tyranny and comes to his father's rescue.",6.2,"1,635",1985
902,Amar Prem,['0066758'],28 Jan 1972,"Drama, Musical, Romance","Rajesh Khanna, Sharmila Tagore, Sujit Kumar",A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.,8.2,"1,601",1972
903,Teen Patti,['1183917'],26 Feb 2010,"Crime, Drama, Thriller","Amitabh Bachchan, Madhavan, Shraddha Kapoor",A disgraced professor recounts his career and involvement with gambling.,4.1,"1,491",2010
904,Notebook,['9105014'],29 Mar 2019,"Drama, Romance","Zaheer Iqbal, Pranutan Bahl, Mir Mohammed Mehroos","An ex-army officer, Kabir, becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook, left behind by the previous year's teacher Firdaus (Pranutan Bahl).",6.9,"2,331",2019
905,Chittagong,['1785333'],12 Oct 2012,"Action, Drama, War","Manoj Bajpayee, Barry John, Delzad Hiwale","School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the Br",7.3,"1,572",2012
906,Naseeb,['0082797'],01 May 1981,"Action, Musical, Romance","Amitabh Bachchan, Shatrughan Sinha, Rishi Kapoor",A lottery ticket changes the lives of four friends.,7.1,"1,590",1981
907,Waqt Hamara Hai,['0290331'],02 Jul 1993,"Action, Comedy, Romance","Akshay Kumar, Sunil Shetty, Ayesha Jhulka",Two prankster best friends gets unwittingly involved in a terrorist plot and tries their best to save the country.,6.0,"1,510",1993
908,Zameen,['0382385'],26 Sep 2003,"Action, Adventure, Thriller","Ajay Devgn, Abhishek Bachchan, Bipasha Basu","Colonel Ranvir and ACP Jaideep joins forces to fight against Pakistani terrorists, who hijacks an Indian airplane and demands to free their militant leader in return.",5.3,"1,475",2003
909,Koshish,['0215911'],27 Nov 1972,Drama,"Sanjeev Kumar, Jaya Bachchan, Asrani",A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,8.6,"1,547",1972
910,Aarzoo,['0284811'],19 Mar 1999,"Drama, Romance","Madhuri Dixit, Akshay Kumar, Saif Ali Khan","After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to her life.",5.4,"1,456",1999
911,Pakeezah,['0067546'],04 Feb 1972,"Musical, Romance, Drama","Ashok Kumar, Meena Kumari, Raaj Kumar","In Lucknow at the turn of the century, a dancer and courtesan believes that her pure soul and body will enable her to find true love and honor.",7.3,"1,538",1972
912,Ab Tumhare Hawale Watan Saathiyo,['0397882'],24 Dec 2004,"Action, Drama, War","Amitabh Bachchan, Akshay Kumar, Bobby Deol",Kunal unwillingly joins the army to maintain his family's tradition and soon finds himself fighting ruthless terrorists who want to destroy the peace and harmony between India and Pakistan.,4.6,"1,501",2004
913,Ramayana: The Legend of Prince Rama,['0259534'],10 May 1992,"Animation, Action, Adventure","Bryan Cranston, Arun Govil, Edie Mirman","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.",9.0,"2,597",1992
914,Chaalbaaz,['0122427'],08 Dec 1989,"Action, Comedy, Drama","Sridevi, Sunny Deol, Rajinikanth","Twins separated at infancy are brought up differently. One weak, one strong. One day, they end up at each others house. Their life is not the same anymore.",6.8,"1,503",1989
915,Tum Mile,['1522329'],13 Nov 2009,"Drama, Romance","Emraan Hashmi, Soha Ali Khan, Prerna Chawla",Two former lovers experience life-threatening floods in Mumbai.,5.0,"1,540",2009
916,Talaash: The Hunt Begins...,['0338477'],03 Jan 2003,"Action, Drama, Mystery","Rakhee Gulzar, Akshay Kumar, Kareena Kapoor",-The Hunt Begins- For them it was revenge. For him it was a challenge. A timeless ride on a ferocious mission.,4.7,"1,418",2003
917,Ahista Ahista,['0831840'],18 Aug 2006,"Drama, Romance","Abhay Deol, Soha Ali Khan, Shayan Munshi","An acting marriage witness Ankush falls in love with a girl who has been betrayed by her lover. When he returns back, Ankush tries his best to save his relationship.",7.0,"1,497",2006
918,Indu Sarkar,['6620324'],28 Jul 2017,"Drama, Thriller","Kirti Kulhari, Tota Roy Chowdhury, Neil Nitin Mukesh",Indu Sarkar is set during the emergency period between 1975 to 1977 declared by Prime Minister Indra Gandhi.,6.0,"1,474",2017
919,Noor,['5775220'],21 Apr 2017,"Adventure, Comedy, Drama","Sunny Leone, Sonakshi Sinha, Rudhraksh Jaiswal","The jumbled up, crazy and happening life of journalist Noor takes a dramatic turn when she comes across a news breaking cover story.",3.9,"1,459",2017
920,Arjun: The Warrior Prince,['2404027'],25 May 2012,"Animation, Action, Adventure","Yudhveer Bakoliya, Ashok Banthia, Ravi Khanvilkar",The tale of how Arjuna fought his inner self and became the legendary archer.,6.9,"1,550",2012
921,Guest iin London,['6173826'],07 Jul 2017,Comedy,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal","A young couple in London struggle to live with their estranged aunt and uncle, who overstay their welcome.",5.4,"1,801",2017
922,Boom,['0330082'],19 Sep 2003,"Crime, Thriller","Amitabh Bachchan, Jackie Shroff, Gulshan Grover",Three female models are unwittingly thrown into the Bombay underworld when they accidentally stop a diamond delivery to the Middle East.,2.3,"1,365",2003
923,Deewaar,['0072860'],01 May 1979,"Action, Crime, Drama","Amitabh Bachchan, Shashi Kapoor, Nirupa Roy","Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.",8.1,"10,536",1975
924,Poster Boys,['6352548'],08 Sep 2017,Comedy,"Sunny Deol, Bobby Deol, Shreyas Talpade",Life of three men comes in trouble when their photos appear on advertisement for sterilization.,5.4,"1,459",2017
925,Policegiri,['2861320'],05 Jul 2013,"Action, Comedy, Crime","Sanjay Dutt, Prachi Desai, Prakash Raj",DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.,4.1,"1,418",2013
926,Bade Dilwala,['0286478'],22 Jan 1999,"Comedy, Drama, Romance","Sunil Shetty, Priya Gill, Paresh Rawal","A police officer Ram (Sunil Shetty), a man of his word. His wife Manthara (Archana Puran Singh) is obsessed with money and neglects her family in pursuit of getting rich quick. She forces Ram to buy a lottery ticket and he obliges. W",3.6,"1,290",1999
927,Shabd,['0409527'],04 Feb 2005,"Drama, Thriller","Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan","When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and reality is blurred.",5.1,"1,371",2005
928,Aandhi,['0178186'],13 Feb 1975,"Drama, Romance","Suchitra Sen, Sanjeev Kumar, Om Shivpuri","J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter, Aarti, of a politician, and chooses to be discrete about it. When she recovers, she and he fall in love; get married",8.1,"1,435",1975
929,Sirf Tum,['0244794'],11 Jun 1999,"Romance, Drama","Sanjay Kapoor, Priya Gill, Sushmita Sen","Deepak returns Aarti's lost-in-transit luggage. The two start communicating via letter. They fall in love and rural/suburban Aarti comes to the city to look for Deepak, whom she had sent a handwoven pullover.",6.1,"1,437",1999
930,Sadda Adda,['1941638'],13 Jan 2012,"Comedy, Drama, Romance","Karan Sharma, Karanvir Sharma, Shaurya Chauhan, Bhaumik Sampat","'The only thing that will stop you from fulfilling your dreams is you"" People have dreams, but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We ...",7.1,"1,347",2012
931,Chalti Ka Naam Gaadi,['0128985'],01 Jan 1958,"Comedy, Musical, Romance","Ashok Kumar, Madhubala, Anoop Kumar",Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.,8.0,"1,529",1958
932,Kisna: The Warrior Poet,['0396690'],21 Jan 2005,"Drama, Musical, Romance","Vivek Oberoi, Isha Sharvani, Antonia Bernath","A man befriends and protects a British girl from a group of nationalists that want England to hand India back to them. They fall for each other, but the man is due to marry.",4.5,"1,335",2005
933,Dev,['0364303'],11 Jun 2004,Drama,"Amitabh Bachchan, Om Puri, Fardeen Khan","Joint Commissioner of Police Dev Pratap Singh, a duty-bound, self-righteous officer, and Special Commissioner Tejinder Khosla, the balancing force between the political interests of Chief Minister Bhandarker and Dev's commitment to t",6.9,"1,337",2004
934,Naqaab,['1020978'],13 Jul 2007,"Crime, Drama, Romance","Bobby Deol, Akshaye Khanna, Urvashi Sharma","Sophia is engaged to millionaire Karan, who is completely in love with her. She, however, finds true love in Vicky and gets into a relationship that causes problems between her and Karan.",5.4,"1,380",2007
935,Lakshmi,['2976176'],21 Mar 2014,Drama,"Monali Thakur, Vibha Chhibber, Ranjeet Jha","Based on true events, Lakshmi is a story of heroism and untold courage. Lakshmi, a 13 year old girl is kidnapped and sold into prostitution. Thrown into this horrific, inhuman world where she is raped and brutally beaten she barely s",7.9,"1,549",2014
936,Kachche Dhaage,['0206067'],19 Feb 1999,"Action, Drama, Thriller","Ajay Devgn, Saif Ali Khan, Manisha Koirala",Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.,6.0,"1,439",1999
937,The Burning Train,['0158534'],20 Mar 1980,"Action, Thriller","Dharmendra, Vinod Khanna, Jeetendra",A dedicated railway employee's plan to introduce an express train result in sabotage.,6.8,"1,450",1980
938,Always Kabhi Kabhi,['1937092'],17 Jun 2011,"Comedy, Crime, Drama","Lillete Dubey, Satyajeet Dubey, Ali Fazal","A story centered on four students coming of age during a year at their school, St. Marks.",4.0,"1,300",2011
939,China Gate,['0210609'],27 Nov 1998,"Action, Adventure, Drama","Om Puri, Naseeruddin Shah, Danny Denzongpa",10 old exiled army men decide to free a village from an evil bandit,6.6,"1,476",1998
940,Karam,['0444849'],11 Mar 2005,"Action, Crime, Drama","John Abraham, Priyanka Chopra Jonas, Bharat Dabholkar","A guilt-ridden hit man tries to quit his job after a traumatic killing, before his boss kidnaps his wife in order to make him do one last job.",5.5,"1,340",2005
941,Mr. Natwarlal,['0079584'],08 Jun 1979,"Action, Comedy, Romance","Amitabh Bachchan, Rekha, Ajit","Natwar is just a young boy when his beloved older brother and caretaker, police officer Gridharilal (Ajit), is framed for bribery by sinister criminal mastermind Vikram (Amjad Khan). When he grows up, Natwar (Amitabh Bachchan) create",6.6,"1,331",1979
942,Do Lafzon Ki Kahani,['4857886'],10 Jun 2016,"Action, Drama, Romance","Kajal Aggarwal, Anil George, Randeep Hooda",Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,6.5,"1,420",2016
943,Ab Tak Chhappan 2,['2202086'],27 Feb 2015,"Action, Crime, Thriller","Nana Patekar, Mohan Agashe, Gul Panag",A retired policeman returns to his job to fight a crime wave that was once responsible for leaving his son without a mother.,5.8,"1,348",2015
