,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3120,Do Bhai,['0157544'],N/A,"Action, Crime, Drama","Ashok Kumar, Mala Sinha, Jeetendra, Jagdeep","The Bombay-based Verma family consists of two brothers, Ajay, and Vijay. Their family have been law-makers for generations, their grandfather was the District Magistrate, and their father ...",6.1,27,1969
3121,Aisa Pyaar Kahan,['0358926'],14 Nov 1986,N/A,"Jeetendra, Jaya Prada, Mithun Chakraborty, Padmini Kolhapure","This story revolves around three sisters. The first is Kalpana, who is a widow, has a grown son by the name of Kasturi, and lives with her unmarried brother, Suraj; the second is Sarita ...",6.1,17,1986
3122,Spark,['0159765'],16 Jan 1998,"Drama, Thriller","Terrence Howard, Nicole Ari Parker, Brendan Sexton III","Academy Award nominee Terrence Howard and Nicole Ari Parker star as a young African American couple who must find a way to survive when their car breaks down in a backwater, violent racist town.Byron (Howard--Hustle &amp; Flow) and Nina ",5.5,227,1998
3123,Kranti Kshetra,['0205189'],N/A,"Action, Comedy, Drama","Mithun Chakraborty, Pooja Bhatt, Harish","Honest, responsible and diligent officer, Major Barkat Ali excels in the Indian armed forces so much that he is asked to apprehend notorious criminal, Shaitan Singh. He does manages to carry out this task successfully and ensures tha",5.2,43,1994
3124,Mera Jawab,['0089582'],15 Feb 1985,Action,"Jackie Shroff, Meenakshi Sheshadri, Shakti Kapoor, Gulshan Grover","Suresh and Poonam are a happy couple but things change when Poonam is raped& killed by three goons Danny,Kukoo&Bunty now Suresh only motive in life is to find these three and kill them.",5.6,34,1985
3125,Tangewala,['0176216'],N/A,"Action, Crime, Drama, Family","Rajendra Kumar, Mumtaz, Sujit Kumar, Kumud Chuggani","Rai Bahadur Kishandas, due to his weakness for alcohol and women drives his wife and children out of the house. Suddenly, his fortune takes a turn and he is reduced to the state of a beggar...",5.6,29,1972
3126,Main Awara Hoon,['0361869'],N/A,"Drama, Family","Sanjay Dutt, Raj Babbar, Jaya Prada","Widowed Dinanath Kumar lives a poor lifestyle in Poona with two sons, Rajeev &amp; Sanjeev; daughter, Payal; and widowed sister, Kalawanti. He has great hopes for Rajeev who he has got educated, but is very disappointed with Sanjeev, who",5.2,38,1983
3127,Tan-Badan,['0092049'],25 Apr 1986,Drama,"Govinda, Kushboo, Jyoti Patel","A rich man devises a strange plan in order to get his son married. In a strange turn of events, he is murdered before the plan materializes.",5.1,38,1986
3128,Aap To Aise Na The,['0178198'],05 Dec 1980,"Romance, Drama, Family","Raj Babbar, Ranjeeta Kaur, Deepak Parashar","Orphaned at a very young age, Varsha Oberoi, lives a wealthy lifestyle with her paternal uncle, Jain Oberoi, in Bombay, and has traveled world-wide. She is in love with Vijay, a middle-classed young man, who runs a small furniture st",5.6,38,1980
3129,Aadmi Sadak Ka,['0177485'],N/A,"Drama, Family","Shatrughan Sinha, Vikram, Zaheera, Sujit Kumar","The Nath family consists of Retired Commissioner Upendra, his wife, Savitri; elder son, Madan, who is married to Maya, and they have a son, Ashoo; a second son - Surendra, who is married to...",5.9,22,1977
